state,route,link,busname,bustype,departing_time,duration,reaching_time,price,star_rating,seat_availablity
Andhra Pradesh,Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,TSRTC - 1143,RAJADHANI AC (CONVERTED METRO LUXURY),17:30,07h 00m,00:30,480.0,2.6,35
Andhra Pradesh,Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,TSRTC - 1373,RAJDHANI (A.C. Semi Sleeper),17:30,06h 40m,00:10,480.0,2.0,35
Andhra Pradesh,Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,TSRTC - 42662,Super Luxury (Non AC Seater 2+2 Push Back),17:30,05h 00m,22:30,396.0,3.5,31
Andhra Pradesh,Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,TSRTC - 43062,Super Luxury (Non AC Seater 2+2 Push Back),17:30,06h 40m,00:10,396.0,1.9,30
Andhra Pradesh,Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,TSRTC - 41831,Super Luxury (Non AC Seater 2+2 Push Back),17:40,05h 30m,23:10,396.0,1.6,31
Andhra Pradesh,Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,TSRTC - 1589,RAJDHANI (A.C. Semi Sleeper),17:50,05h 00m,22:50,480.0,1.4,31
Andhra Pradesh,Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,TSRTC - 43262,Super Luxury (Non AC Seater 2+2 Push Back),17:55,06h 55m,00:50,396.0,3.1,31
Andhra Pradesh,Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,TSRTC - 42862,Super Luxury (Non AC Seater 2+2 Push Back),18:00,05h 30m,23:30,396.0,2.0,31
Andhra Pradesh,Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,TSRTC - 9929,Super Luxury (Non AC Seater 2+2 Push Back),18:05,07h 30m,01:35,352.0,2.3,16
Andhra Pradesh,Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,TSRTC - 9807,Lahari A/C sleeper,18:30,07h 00m,01:30,511.0,3.8,16
Andhra Pradesh,Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,TSRTC - 1757,Super Luxury (Non AC Seater 2+2 Push Back),18:30,07h 35m,02:05,352.0,3.1,4
Andhra Pradesh,Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,TSRTC - 1417,RAJDHANI (A.C. Semi Sleeper),18:30,05h 00m,23:30,480.0,2.3,35
Andhra Pradesh,Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,TSRTC - 4073,RAJDHANI (A.C. Semi Sleeper),18:45,06h 25m,01:10,533.0,2.6,34
Andhra Pradesh,Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,TSRTC - 6552,Rajdhani (AC Semi Sleeper 2+2),18:50,07h 00m,01:50,480.0,2.6,35
Andhra Pradesh,Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,TSRTC - 7620,Super Luxury (Non AC Seater 2+2 Push Back),18:50,06h 20m,01:10,396.0,4.1,30
Andhra Pradesh,Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,TSRTC - 40477,Super Luxury (Non AC Seater 2+2 Push Back),19:15,06h 15m,01:30,396.0,4.1,29
Andhra Pradesh,Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,TSRTC - 9919,Super Luxury (Non AC Seater 2+2 Push Back),19:20,07h 30m,02:50,356.0,3.9,27
Andhra Pradesh,Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,TSRTC - 1548,RAJADHANI AC (CONVERTED METRO LUXURY),19:50,07h 00m,02:50,480.0,3.2,35
Andhra Pradesh,Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,TSRTC - 2016,Lahari Non A/C Sleeper Cum Seater,19:50,07h 30m,03:20,354.0,3.1,3
Andhra Pradesh,Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,TSRTC - 7692,Super Luxury (Non AC Seater 2+2 Push Back),20:05,06h 45m,02:50,396.0,2.5,27
Andhra Pradesh,Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,TSRTC - 31010,RAJDHANI (A.C. Semi Sleeper),20:10,07h 00m,03:10,480.0,2.9,33
Andhra Pradesh,Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,TSRTC - 2980,Super Luxury (Non AC Seater 2+2 Push Back),20:30,07h 00m,03:30,396.0,2.9,29
Andhra Pradesh,Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,TSRTC - 42031,Super Luxury (Non AC Seater 2+2 Push Back),20:40,05h 30m,02:10,396.0,3.8,31
Andhra Pradesh,Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,TSRTC - 9880,Super Luxury (Non AC Seater 2+2 Push Back),20:40,07h 00m,03:40,352.0,4.0,12
Andhra Pradesh,Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,TSRTC - 7771,Super Luxury (Non AC Seater 2+2 Push Back),20:45,06h 45m,03:30,352.0,3.6,27
Andhra Pradesh,Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,TSRTC - 17862,eGARUDA,21:00,07h 00m,04:00,533.0,2.9,30
Andhra Pradesh,Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,TSRTC - 1781,RAJDHANI (A.C. Semi Sleeper),21:10,05h 00m,02:10,480.0,2.8,33
Andhra Pradesh,Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,TSRTC - 1581,RAJDHANI (A.C. Semi Sleeper),21:30,06h 30m,04:00,480.0,3.1,34
Andhra Pradesh,Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,TSRTC - 18662,eGARUDA,21:30,07h 00m,04:30,533.0,3.7,32
Andhra Pradesh,Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,TSRTC - 9922,Super Luxury (Non AC Seater 2+2 Push Back),21:40,07h 10m,04:50,396.0,3.9,28
Andhra Pradesh,Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,TSRTC - 1627,RAJDHANI (A.C. Semi Sleeper),21:50,07h 00m,04:50,480.0,2.9,33
Andhra Pradesh,Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,TSRTC - 7769,Super Luxury (Non AC Seater 2+2 Push Back),21:50,06h 40m,04:30,352.0,3.1,29
